task_id,difficulty_level,task_title,task_description,expected_output,evaluation_criteria
DA-E-001,Easy,Load and Explore a Dataset,"In this task, you will load a simple dataset such as a CSV file containing sales, student, or employee data and explore its basic structure. This task is important because data analysts always begin by understanding what the dataset looks like before performing any analysis. Step by step, you should load the dataset using an appropriate tool or library, display the total number of rows and columns, list all column names, and show the first few records. This helps you become familiar with the data and identify potential issues early. Hint: Use basic data loading and inspection functions to view rows, columns, and sample records.","Dataset is successfully loaded and basic structure information is displayed clearly","Correct loading of dataset, accurate display of rows and columns, and clear presentation of sample data"
DA-E-002,Easy,Identify Missing Values in Dataset,"Analyze a given dataset to identify missing or null values present in each column. This task introduces data quality assessment, which is a critical responsibility of a data analyst in real-world projects. Step by step, examine each column, count how many values are missing, and clearly report the results. Understanding missing data helps analysts decide how to clean and prepare the dataset for analysis. Hint: Use built-in functions that detect null or empty values for each column.","A clear summary showing missing value counts for each column","Correct identification of missing values, accurate counts, and clear reporting"
DA-E-003,Easy,Check Dataset Data Types,"In this task, you will inspect the data types of each column in a dataset. This task is important because incorrect data types can lead to wrong calculations or analysis errors. Step by step, load the dataset and list each column along with its data type, such as numeric, text, or date. This helps ensure the data is interpreted correctly by analysis tools. Hint: Most data tools provide a function to display column data types.","All columns listed with their correct data types","Accurate identification of data types and clear output formatting"
DA-E-004,Easy,Count Total Records in Dataset,"This task requires you to count the total number of records (rows) present in a dataset. Counting records is a basic but essential step in understanding dataset size and scope. Step by step, load the dataset and calculate the total row count. This information is often used in reports and project documentation. Hint: Use row-counting functions provided by your data analysis tool.","Correct total number of records displayed","Accurate row count and correct dataset loading"
DA-E-005,Easy,List Unique Values in a Column,"In this task, you will identify and list all unique values present in a selected column of a dataset. This task is important for understanding categories, labels, or distinct entries such as product names or regions. Step by step, choose a column and extract its unique values. Hint: Use functions that return distinct values from a column.","Unique values displayed for the selected column","Correct identification of unique values and clear output"
DA-E-006,Easy,Count Frequency of Values in a Column,"Analyze how often each unique value appears in a specific column. Frequency analysis helps data analysts understand distributions and common categories. Step by step, select a column, count occurrences of each unique value, and display the results. Hint: Use value-count or grouping functions.","Frequency count displayed correctly","Accurate frequency calculation and readable presentation"
DA-E-007,Easy,Sort Dataset by a Single Column,"This task focuses on sorting a dataset based on a single column such as date, price, or score. Sorting is commonly used to rank data or find highest and lowest values. Step by step, apply sorting in ascending or descending order and display the sorted dataset. Hint: Choose sort order carefully based on analysis needs.","Dataset sorted correctly by selected column","Correct sorting logic and proper order selection"
DA-E-008,Easy,Filter Rows Based on Condition,"In this task, you will filter dataset rows based on a simple condition, such as values greater than a threshold. Filtering helps analysts focus on relevant data subsets. Step by step, apply a condition to a column and display only matching rows. Hint: Use comparison operators for filtering.","Filtered dataset displayed correctly","Correct condition application and accurate filtering"
DA-E-009,Easy,Select Specific Columns from Dataset,"This task requires selecting only specific columns from a dataset for focused analysis. Analysts often work with subsets of columns instead of full datasets. Step by step, choose required columns and create a new view or dataset. Hint: Specify column names explicitly.","Selected columns displayed correctly","Correct column selection and clean output"
DA-E-010,Easy,Rename Dataset Columns,"In this task, you will rename one or more dataset columns to improve clarity and readability. Clear column names are important for analysis and reporting. Step by step, identify unclear column names and rename them appropriately. Hint: Use meaningful and descriptive names.","Columns renamed successfully","Correct renaming and improved readability"
DA-E-011,Easy,Detect Duplicate Records,"Analyze the dataset to identify duplicate rows. Duplicate data can distort analysis results if not handled properly. Step by step, check for duplicate records and report how many exist. Hint: Use duplicate detection functions.","Duplicate records identified correctly","Accurate detection and correct reporting"
DA-E-012,Easy,Remove Duplicate Records,"This task focuses on cleaning data by removing duplicate rows. Removing duplicates ensures data accuracy and reliability. Step by step, eliminate duplicate records and verify the updated dataset size. Hint: Keep the first occurrence of duplicates.","Dataset with duplicates removed","Correct duplicate removal and dataset consistency"
DA-E-013,Easy,Calculate Basic Column Sum,"In this task, calculate the sum of values in a numerical column. Summation is often used in sales totals and performance metrics. Step by step, select a numeric column and compute its total. Hint: Ensure column contains numeric data.","Correct sum calculated","Accurate calculation and correct column usage"
DA-E-014,Easy,Calculate Column Average,"This task involves calculating the average value of a numeric column. Averages are used to understand typical values in datasets. Step by step, compute the mean of selected column values. Hint: Exclude missing values if present.","Correct average value displayed","Accurate mean calculation and data handling"
DA-E-015,Easy,Find Minimum and Maximum Values in Column,"In this task, identify the minimum and maximum values in a numeric column. This helps analysts understand data range. Step by step, apply min and max functions. Hint: Ensure correct column selection.","Minimum and maximum values displayed","Correct range identification"
DA-E-016,Easy,Convert Column Data Type,"This task requires converting a column from one data type to another, such as text to numeric. Data type conversion is often needed before analysis. Step by step, select a column and apply conversion. Hint: Handle invalid values carefully.","Column converted to correct data type","Correct conversion and error handling"
DA-E-017,Easy,Create New Column Using Existing Data,"In this task, you will create a new column derived from existing columns, such as calculating total price from quantity and unit price. Creating derived columns is common in analysis. Step by step, apply a formula and store results in a new column. Hint: Verify calculation logic.","New column created correctly","Correct formula usage and accurate results"
DA-E-018,Easy,Format Numeric Values for Readability,"This task focuses on formatting numeric values, such as rounding decimals or adding currency symbols. Proper formatting improves report readability. Step by step, apply formatting rules to a numeric column. Hint: Do not change underlying values unnecessarily.","Formatted values displayed clearly","Correct formatting without data distortion"
DA-E-019,Easy,Convert Date Column to Standard Format,"In this task, you will standardize date formats within a dataset. Consistent date formats are essential for time-based analysis. Step by step, identify date column and convert values to a standard format. Hint: Use date parsing functions.","Dates converted to standard format","Correct date conversion and consistency"
DA-E-020,Easy,Extract Year or Month from Date Column,"This task requires extracting components such as year or month from a date column. This is useful for trend analysis. Step by step, create a new column containing extracted values. Hint: Use date functions.","New column with extracted date component","Correct extraction and accurate values"
DA-E-021,Easy,Group Data by Single Category,"In this task, group dataset records by a single categorical column such as department or region. Grouping is used to summarize data. Step by step, group records and display group counts. Hint: Use group-by operations.","Grouped data displayed correctly","Correct grouping logic and clear output"
DA-E-022,Easy,Calculate Group-Wise Count,"This task focuses on calculating counts for each group in grouped data. Group-wise counts are common in reporting. Step by step, group data and count records per group. Hint: Verify group categories.","Correct group-wise counts","Accurate grouping and counting"
DA-E-023,Easy,Calculate Group-Wise Average,"In this task, calculate the average of a numeric column for each group. This helps compare performance across categories. Step by step, apply group-by and mean functions. Hint: Use numeric columns only.","Group-wise averages displayed","Correct calculation and grouping"
DA-E-024,Easy,Create Simple Bar Chart,"This task introduces basic data visualization by creating a bar chart from grouped data. Visualization helps communicate insights clearly. Step by step, prepare data and generate a bar chart. Hint: Label axes properly.","Bar chart displayed correctly","Correct chart creation, clear labels"
DA-E-025,Easy,Create Simple Line Chart,"In this task, you will create a line chart to show trends over time or ordered data. Line charts are widely used in reports. Step by step, select appropriate data and plot values. Hint: Use sorted data for meaningful trends.","Line chart generated correctly","Correct plotting and clear visualization"
DA-E-026,Easy,Create Simple Pie Chart,"This task focuses on creating a pie chart to represent proportions. Pie charts help show relative contributions. Step by step, calculate proportions and generate chart. Hint: Avoid too many categories.","Pie chart displayed clearly","Accurate proportions and readable chart"
