task_id,difficulty_level,task_title,task_description,expected_output,evaluation_criteria
DS-E-001,Easy,Implement Basic Array Operations,"In this task, you will create a program that works with a basic array to understand how data is stored sequentially in memory. This task is important because arrays are the foundation of almost all data structures used in real-world software systems. Step by step, you must declare an array, insert multiple elements into it, display all elements using a loop, and retrieve a specific element using an index provided by the user. You should also handle invalid index access to avoid runtime errors. Hint: Use loops for traversal and always check that the index is within valid bounds before accessing the array.","The program correctly stores elements, displays them in order, and retrieves values using a valid index","Correct use of arrays, proper traversal logic, safe index handling, clean and readable output"
DS-E-002,Easy,Reverse an Array,"This task requires you to write a program that reverses the elements of an array without using any built-in reverse functions. Reversing arrays helps you understand element swapping, indexing, and iteration, which are core skills for data manipulation tasks in internships. Step by step, you should use two pointers starting from the beginning and end of the array, swap elements, and move inward until the array is fully reversed. Hint: Stop swapping when the start index becomes greater than or equal to the end index.",Array elements are displayed in complete reverse order,"Correct swapping logic, no built-in reverse usage, accurate index management"
DS-E-003,Easy,Find Maximum and Minimum Values in an Array,"In this task, you will develop a program to find the maximum and minimum values stored in an array. This operation is frequently used in analytics, reporting, and monitoring systems in real-world applications. Step by step, traverse the array from the first element, compare each value, and update the maximum and minimum variables accordingly. Hint: Initialize both maximum and minimum with the first element of the array before traversal.",Correct maximum and minimum values are displayed,"Accurate comparison logic, full traversal, correct initialization"
DS-E-004,Easy,Count Even and Odd Numbers in an Array,"This task focuses on categorizing data by counting even and odd numbers in an array. Such operations are common in data filtering and validation tasks during internships. Step by step, loop through the array, check each element using the modulus operator, and maintain separate counters for even and odd values. Hint: Use value % 2 to determine whether a number is even or odd.",Correct count of even and odd numbers displayed,"Accurate conditional logic, correct counting, complete traversal"
DS-E-005,Easy,Implement Linear Search Algorithm,"In this task, you will implement the linear search algorithm to find a specific value in an array. Linear search is one of the simplest searching techniques and helps build problem-solving foundations. Step by step, compare each array element with the target value until it is found or the array ends. Hint: Exit the loop early when the element is found to improve efficiency.",Program correctly reports whether the element exists,"Correct search logic, proper loop control, correct result reporting"
DS-E-006,Easy,Insert Element at a Specific Index in Array,"This task requires inserting a new element at a specific index within an array. This is important for understanding how insertion affects existing data and memory layout. Step by step, shift elements to the right starting from the end of the array, then place the new element at the given index. Hint: Always shift elements backward to avoid overwriting data.",Element inserted at the correct position in the array,"Correct shifting logic, no data loss, valid index handling"
DS-E-007,Easy,Delete Element from Array Using Index,"In this task, you will delete an element from an array using a given index. Deletion operations are common when managing records in applications. Step by step, validate the index, shift elements to the left to fill the gap, and reduce the logical size of the array. Hint: Handle deletion of the first and last elements carefully.",Array updated correctly after deletion,"Proper index validation, correct shifting logic, stable output"
DS-E-008,Easy,Understand Stack Data Structure Concept,"This task focuses on understanding the stack data structure and its Last-In-First-Out behavior. Stacks are widely used in function calls, undo/redo systems, and expression evaluation. Step by step, explain stack operations such as push and pop using real-world examples. Hint: Imagine stacking plates one on top of another.",Clear written explanation of stack behavior and use cases,"Concept accuracy, clear explanation, relevant real-world examples"
DS-E-009,Easy,Implement Stack Using Array,"In this task, you will implement a stack using an array. This practical implementation helps convert theory into real coding skills expected from interns. Step by step, define a stack array, maintain a top variable, and implement push and pop operations with boundary checks. Hint: Top should start at -1 for an empty stack.",Working stack with correct push and pop operations,"Correct LIFO behavior, boundary condition handling"
DS-E-010,Easy,Implement Push Operation in Stack,"This task focuses specifically on the push operation in a stack. Push is used to add elements to the top of the stack. Step by step, increment the top pointer and insert the new value into the array. Hint: Always check for stack overflow before pushing.",Element successfully pushed onto stack,"Correct push logic, overflow prevention"
DS-E-011,Easy,Implement Pop Operation in Stack,"In this task, you will implement the pop operation to remove the top element from the stack. Step by step, check whether the stack is empty, retrieve the top element, and decrement the top pointer. Hint: Never pop from an empty stack.",Correct element popped from stack,"Underflow handling, correct pointer updates"
DS-E-012,Easy,Understand Queue Data Structure Concept,"This task introduces the queue data structure and its First-In-First-Out behavior. Queues are commonly used in scheduling systems, request handling, and buffering. Step by step, explain enqueue and dequeue operations with real-world examples. Hint: Think of people standing in a line.",Clear explanation of queue behavior,"Concept clarity, correct FIFO explanation"
DS-E-013,Easy,Implement Queue Using Array,"In this task, you will implement a queue using an array. Step by step, define front and rear pointers and implement enqueue and dequeue operations. This task is important because queues are frequently used in backend and system-level software. Hint: Initialize front and rear properly before operations.",Working queue implementation,"Correct FIFO behavior, pointer management"
DS-E-014,Easy,Implement Enqueue Operation in Queue,"This task focuses on adding elements to a queue using enqueue operation. Step by step, insert an element at the rear position and update the rear pointer. Hint: Always check for queue overflow before enqueue.",Element enqueued correctly,"Correct enqueue logic, overflow handling"
DS-E-015,Easy,Implement Dequeue Operation in Queue,"In this task, you will remove elements from the front of a queue. Step by step, retrieve the front element and update the front pointer. Hint: Check for underflow before dequeue.",Element dequeued correctly,"Correct dequeue logic, underflow handling"
DS-E-016,Easy,Understand Circular Queue Concept,"This task introduces the concept of circular queues, which improve space utilization in array-based queues. Step by step, explain how the rear wraps around to the beginning using modulo arithmetic. Hint: Use circular indexing logic.",Clear explanation of circular queue,"Concept understanding, correct explanation"
DS-E-017,Easy,Implement Basic Circular Queue,"In this task, you will implement a basic circular queue using an array. Step by step, apply modulo arithmetic to manage front and rear movement efficiently. Hint: Use (index + 1) % size to move circularly.",Circular queue operations work correctly,"Correct circular behavior, proper pointer updates"
DS-E-018,Easy,Understand Singly Linked List Concept,"This task focuses on understanding singly linked lists and why they are used instead of arrays in some cases. Step by step, explain nodes, pointers, and dynamic memory usage. Hint: Each node points to the next node.",Clear explanation of singly linked list,"Concept clarity, correct terminology"
DS-E-019,Easy,Create Singly Linked List Node,"In this task, you will create the basic node structure for a singly linked list. Step by step, define data and a pointer to the next node. Hint: Keep node structure minimal and clear.",Correct node structure created,Accurate node definition
DS-E-020,Easy,Traverse Singly Linked List,"This task requires traversing a singly linked list and displaying all node values. Step by step, start from the head and move through each next pointer until null is reached. Hint: Use a temporary pointer for traversal.",All linked list elements displayed correctly,"Correct traversal logic, no infinite loops"
DS-E-021,Easy,Insert Node at Beginning of Singly Linked List,"In this task, you will insert a new node at the beginning of a linked list. Step by step, point the new node to the current head and update the head pointer. Hint: New node becomes the new head.",Node inserted at beginning successfully,Correct pointer handling
DS-E-022,Easy,Insert Node at End of Singly Linked List,"This task focuses on inserting a node at the end of a linked list. Step by step, traverse to the last node and update its next pointer. Hint: Last node’s next should point to the new node.",Node inserted at end successfully,Correct traversal and insertion
DS-E-023,Easy,Delete Node from Singly Linked List,"In this task, you will delete a node from a singly linked list. Step by step, locate the node, update pointers, and free memory if required. Hint: Handle deletion of the head node separately.",Node deleted correctly,"Correct deletion logic, safe pointer updates"
DS-E-024,Easy,Understand Doubly Linked List Concept,"This task introduces doubly linked lists and their advantages over singly linked lists. Step by step, explain how nodes link in both directions. Hint: Nodes contain previous and next pointers.",Clear explanation of doubly linked list,"Concept clarity, correct explanation"
DS-E-025,Easy,Create Doubly Linked List Node,"In this task, you will create a node structure for a doubly linked list. Step by step, include data, previous pointer, and next pointer. Hint: Both pointers are required.",Correct doubly linked list node created,Accurate structure definition
DS-E-026,Easy,Understand Time Complexity Basics,"This task focuses on understanding time complexity and why it matters in software performance. Step by step, explain Big-O notation with simple examples. Hint: Focus on how execution time grows.",Correct explanation of time complexity,"Concept accuracy, clarity"
DS-E-027,Easy,Analyze Time Complexity of Simple Loops,"In this task, you will analyze the time complexity of simple loop-based programs. Step by step, count the number of iterations and determine the Big-O notation. Hint: A single loop usually results in O(n).",Correct time complexity identified,"Accurate analysis, correct notation"
DS-E-028,Easy,Understand Space Complexity Basics,"This task introduces space complexity and memory usage analysis. Step by step, explain how extra variables and data structures affect memory. Hint: Consider auxiliary space.",Correct explanation of space complexity,Concept clarity
DS-E-029,Easy,Compare Arrays and Linked Lists,"In this task, you will compare arrays and linked lists in terms of memory usage, access speed, and flexibility. Step by step, list advantages and disadvantages of each. Hint: Think static vs dynamic memory.",Clear comparison provided,"Depth, correctness, clarity"
DS-E-030,Easy,Understand Recursion Concept,"This task introduces recursion and its importance in data structures. Step by step, explain base case and recursive case using simple examples. Hint: A function calls itself.",Clear explanation of recursion,Concept understanding
DS-E-031,Easy,Implement Simple Recursive Function,"In this task, you will implement a simple recursive function such as factorial or sum of numbers. Step by step, define base case and recursive call properly. Hint: Base case prevents infinite recursion.",Recursive function works correctly,Correct recursion logic
DS-E-032,Easy,Understand Call Stack in Recursion,"This task explains how recursion uses the call stack internally. Step by step, describe how function calls are pushed and popped. Hint: Each call waits for return.",Clear explanation of call stack,Depth of understanding
